TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
4607;5065;AK Breitscheid (S);5;NW;A;3;;8+1;Oberhausen;AK Kreuz Breitscheid (A52);N;Köln;AK Kreuz Ratingen-Ost (A44);S;6;89,9;279;170;62;47;100.897;47.851;53.046;104.400;49.711;54.689;101.683;47.588;54.095;87.427;41.530;45.897;-4,1;-4,0;-6,6;-0,6;11.089;5.121;5.968;13.567;6.323;7.244;11.187;5.081;6.106;2.118;878;1.240;-5,6;-4,9;-9,5;-1,8;11,0;13,0;11,0;2,4;0,97;0,84;1,06;5.593;10,0;1.425;18,8;6.007;10,8;4.354;6,8;;;;;;;;;;;;;;;;;;D;D;B;D;B;D;8;17;G;7;;D;8;18;B;7;;C;;;C;;;A;;;A;;;A;;;D;18;;87,7;8,3;0,3;1,3;2,8;8,1;6,5;0,1;0,0;85,8;8,9;0,2;1,2;3,2;9,7;7,7;0,1;0,0;87,3;8,4;0,3;1,7;2,8;8,1;6,5;0,1;0,0;96,1;5,6;0,5;1,5;0,9;1,4;1,1;0,2;0,0;351.181;5.690.555;105.691;49.815;55.876;14.806;6.812;7.994;94.169;46.066;48.103;4.086;2.133;1.953;;;;;;;;;;;;;;;;;106.364;50.412;55.952;15.229;7.052;8.177;14,3;14,0;14,6;51,34676233;6,86307597;4.301;4.535;9,0;8,5;7,0;11,3;5,4;7,9;8,5;8,1;50.150;55.673;0,84;0,84;0,96;1,00;1,11;1,02;0,90;0,83;5.343;183;463;17;4.046;72;225;10;1.155;54;215;2;850;4607056A4707075A;0,485;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
7143;9093;AK Deggendorf (W);9;BY;A;3;;8+1;Nürnberg;AS Metten;N;Passau;AK Kreuz Deggendorf (A92);S;4;561,9;259;164;48;47;42.970;20.786;22.184;43.076;20.235;22.842;45.964;22.483;23.481;38.725;20.462;18.263;;;;;9.539;4.542;4.997;11.896;5.649;6.247;9.642;4.595;5.047;1.375;702;673;;;;;22,2;27,6;21,0;3,6;1,07;0,86;1,06;2.300;20,5;771;32,5;2.538;21,0;1.584;17,7;;;;;;;;;;;;;;;;;;C;C;E;D;B;C;;;C;;;C;;;C;;;E;14;;C;;;B;11;;A;;;B;14;;B;13;;75,1;10,9;0,3;2,6;2,5;19,2;15,9;0,5;0,0;70,0;11,3;0,2;2,4;3,0;24,1;20,0;0,5;0,0;76,1;11,1;0,3;2,9;2,3;18,2;15,1;0,5;0,0;93,2;9,0;0,4;3,2;0,8;2,1;1,7;0,6;0,0;788.427;5.415.109;44.218;21.216;23.002;12.341;5.983;6.357;42.221;19.123;23.098;6.171;2.366;3.805;;;;;;;;;;;;;;;;;43.775;20.716;23.059;12.806;6.185;6.621;29,3;29,9;28,7;48,82191416;12,92977988;2.290;2.205;11,0;9,9;1,7;6,3;0,4;5,4;11,1;9,6;20.415;21.773;1,02;0,71;1,05;0,88;0,99;1,14;0,82;0,88;1.997;75;459;8;1.300;36;245;4;520;30;220;1;40;7143022O7143018O;3,813;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6432;9050;AK Fürth/Erlangen (O);9;BY;A;3;;8+1;Würzburg;AK Kreuz Fürth/Erlangen (A73);N;Nürnberg;AS Erlangen-Tennenlohe;S;6;384,4;169;90;49;30;96.150;48.436;47.714;98.245;49.183;49.061;99.968;51.025;48.943;84.061;42.532;41.529;-2,3;-3,7;-0,5;+0,5;;;;;;;;;;;;;;;;;;;;;1,02;0,80;1,05;5.278;;1.462;;5.718;;3.960;;;;;;;;;;;;;;;;;;;D;C;D;B;B;C;;;C;;;D;9;17;C;;;E;16;;C;;;C;11;14;B;12;;C;14;;D;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;646.332;5.489.582;100.459;50.803;49.656;;;;90.394;44.368;46.026;;;;;;;;;;;;;;;;;;;;100.412;50.534;49.878;;;;;;;49,54115116;11,02270420;4.503;4.003;9,3;8,4;;;;;8,9;8,0;50.299;48.757;0,84;0,77;0,98;0,96;1,03;1,06;0,80;0,81;;;;;;;;;;;;;190;6431028O6432014O;3,135;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6431;9951;AK Fürth/Erlangen (W);9;BY;A;3;;8+1;Würzburg;AS Erlangen-Frauenaurach;N;Nürnberg;AK Kreuz Fürth/Erlangen (A73);S;4;380,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;643.408;5.491.613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,56011538;10,98305259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;6431019O6431028O;3,029;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4707;5655;AK Hilden (N);5;NW;A;3;;8+1;Oberhausen;AS Mettmann;N;Köln;AK Kreuz Hilden (A46);S;6;96,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;354.904;5.676.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,21861856;6,92233632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840;4707027A4807074A;4,770;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4807;5657;AK Hilden (S);5;NW;A;3;;8+1;AK Hilden;AK Kreuz Hilden;N;Köln;AS Solingen;S;6;98,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357.801;5.668.588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,15105228;6,96680084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;830;4807074A4807009A;5,219;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4908;5003;AK Leverkusen (N);5;NW;A;3;;8+1;Oberhausen;AS Opladen;N;Köln;AK Kreuz Leverkusen (A1);S;8;114,3;337;215;68;54;137.115;66.973;70.142;142.250;69.332;72.918;138.295;67.145;71.150;117.331;58.339;58.992;+2,4;+3,1;+0,9;+1,6;13.318;6.427;6.890;16.028;7.737;8.291;13.728;6.627;7.101;3.138;1.508;1.630;+1,0;+1,6;-2,0;+2,3;9,7;11,3;9,9;2,7;0,97;0,81;1,05;7.597;8,8;1.945;17,0;8.116;9,4;6.039;6,2;;;;;;;;;;;;;;;;;;D;D;B;B;B;D;8;17;G;9;;C;;;B;8;;C;;;C;;;A;;;A;;;A;;;A;;;89,0;8,0;0,3;0,9;3,1;6,5;5,3;0,2;0,4;87,6;8,4;0,2;0,8;3,4;7,7;6,2;0,2;0,4;88,6;8,2;0,3;1,1;3,2;6,6;5,4;0,2;0,4;95,9;6,1;0,5;1,0;1,3;1,1;1,0;0,2;0,3;359.973;5.657.023;144.256;69.908;74.348;17.433;8.345;9.088;126.751;63.324;63.427;5.869;3.167;2.701;;;;;;;;;;;;;;;;;145.205;70.470;74.736;17.820;8.536;9.284;12,3;12,1;12,4;51,04765248;7,00231375;5.451;5.994;8,1;8,5;7,5;9,2;4,9;5,3;7,7;8,0;71.084;74.609;0,83;0,79;0,96;0,98;1,06;1,04;0,86;0,81;7.328;279;486;24;5.649;119;256;15;1.612;78;252;3;810;4907066A4908018A;1,200;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4908;5676;AK Leverkusen (S);5;NW;A;3;;8+1;Oberhausen;AK Kreuz Leverkusen (A1);N;Köln;AS Leverkusen-Zentrum;S;8;115,8;346;215;69;62;174.024;87.675;86.348;180.295;90.647;89.648;175.047;88.676;86.370;150.375;75.839;74.536;+1,7;+2,3;-0,2;+1,8;21.527;10.827;10.700;25.985;13.099;12.886;22.160;11.096;11.064;4.831;2.388;2.444;-1,1;-0,6;-3,7;+0,7;12,4;14,4;12,7;3,2;0,97;0,84;1,05;9.549;11,0;2.656;22,2;10.151;11,7;7.741;8,4;;;;;;;;;;;;;;;;;;D;D;B;B;B;C;;;C;;;C;;;C;;;C;;;C;;;A;;;A;;;A;;;A;;;86,5;8,2;0,2;0,9;3,4;8,8;7,1;0,2;0,3;84,5;8,5;0,2;0,8;3,8;10,4;8,4;0,2;0,3;86,0;8,4;0,3;1,0;3,5;9,0;7,2;0,2;0,3;95,5;6,5;0,4;1,0;1,4;1,5;1,3;0,2;0,3;360.438;5.655.382;182.471;91.706;90.765;28.244;14.170;14.074;162.062;82.636;79.426;9.461;4.983;4.478;;;;;;;;;;;;;;;;;183.539;92.082;91.457;28.876;14.511;14.365;15,7;15,8;15,7;51,03301976;7,00958203;6.708;6.780;7,7;7,9;9,6;10,4;7,1;6,6;7,3;7,4;92.694;91.080;0,84;0,84;0,96;0,99;1,06;1,05;0,88;0,85;8.939;381;805;26;7.078;174;472;16;2.063;121;467;4;800;4908018A4908009A;1,000;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6533;9040;AK Nürnberg (O);9;BY;A;3;;8+1;Nürnberg;AK Kreuz Nürnberg (A9);N;Passau;AK Kreuz Altdorf (A6);S;4;404,4;316;191;70;55;47.571;23.865;23.706;48.909;24.010;24.899;49.379;25.230;24.149;40.668;21.601;19.067;+2,6;+1,2;+4,2;+5,7;10.042;4.887;5.155;12.316;5.981;6.336;10.429;5.045;5.383;1.794;959;835;-2,3;-2,5;-1,8;-7,7;21,1;25,2;21,1;4,4;1,01;0,77;1,08;2.580;18,6;787;37,6;2.818;18,8;1.866;17,8;;;;;;;;;;;;;;;;;;C;C;E;B;B;G;8;;E;17;;B;8;;E;17;;D;8;15;E;16;;B;12;;A;;;A;;;D;18;;76,1;9,4;0,5;1,8;3,1;17,7;14,0;0,3;1,0;72,3;9,8;0,4;1,6;3,4;21,5;17,0;0,3;0,9;75,6;9,0;0,6;2,0;3,3;17,5;13,7;0,3;1,3;92,1;8,2;0,7;2,4;1,5;2,4;2,0;0,5;1,0;663.447;5.480.389;50.433;25.233;25.200;12.934;6.390;6.544;42.362;20.103;22.259;6.347;2.527;3.819;;;;;;;;;;;;;;;;;50.449;24.920;25.528;13.294;6.551;6.743;26,4;26,3;26,4;49,45415266;11,25529647;2.652;2.460;11,1;10,4;13,2;11,9;10,3;10,0;10,6;9,6;24.566;24.943;0,87;0,68;1,00;0,90;1,07;1,09;0,73;0,77;2.275;91;438;13;1.525;61;272;8;488;38;258;3;140;6533014O6533019O;0,976;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6533;9039;AK Nürnberg (W);9;BY;A;3;;8+1;Nürnberg;AS Nürnberg-Mögeldorf;N;Passau;AK Kreuz Nürnberg (A9);S;6;401,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660.699;5.481.653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,46625023;11,21792788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;6533008O6533014O;2,491;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4506;5665;AK OB-West (N);5;NW;A;3;;8+1;Emmerich;AS Oberhausen-Holten;N;Oberhausen;AK Kreuz Oberhausen-West (A42);S;7;478,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;348.471;5.706.819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,49217975;6,81724475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;900;4406029A4506111A;2,459;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4506;5667;AK OB-West (S);5;NW;A;3;;8+1;Oberhausen;AK Kreuz Oberhausen-West (A42);N;Köln;AS Oberhausen-Lirich;S;6;480,1;283;185;46;52;137.250;67.067;70.183;142.210;69.740;72.469;139.888;68.931;70.956;116.313;55.239;61.074;+1,0;+1,0;-0,6;+3,6;18.265;9.068;9.197;22.057;10.966;11.092;18.726;9.326;9.401;4.157;1.974;2.184;-5,5;-5,2;-7,9;-0,2;13,3;15,5;13,4;3,6;0,98;0,84;1,06;7.520;12,3;2.115;20,3;8.052;13,2;5.927;8,9;;;;;;;;;;;;;;;;;;D;D;B;B;D;E;16;;C;;;C;;;C;;;C;;;C;;;A;;;A;;;A;;;D;18;;84,8;6,2;1,0;1,0;3,7;9,5;7,9;0,2;0,9;82,7;6,4;1,0;0,9;4,0;11,3;9,5;0,2;1,0;84,6;6,3;1,1;1,2;3,9;9,4;7,8;0,2;0,8;94,5;5,6;1,2;1,1;1,8;1,5;1,3;0,2;0,8;348.155;5.705.691;143.946;70.427;73.520;23.971;11.894;12.077;130.421;65.241;65.179;7.926;4.075;3.851;;;;;;;;;;;;;;;;;144.545;70.700;73.845;24.552;12.184;12.369;17,0;17,2;16,7;51,48196416;6,81317061;5.726;5.577;8,5;7,9;11,5;13,2;8,6;9,3;8,1;7,6;70.372;73.697;0,80;0,88;0,98;0,96;1,06;1,07;0,90;0,90;6.914;326;735;78;5.332;152;374;69;1.663;92;338;23;890;4506111A4506052A;0,624;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
7038;9080;AK Regensburg (O);9;BY;A;3;;8+1;Nürnberg;AK Kreuz Regensburg (A93);N;Passau;AS Regensburg-Universität;S;6;492,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;724.965;5.431.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,99107416;12,07535774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;7038002O7038036O;1,120;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
7038;9074;AK Regensburg (W);9;BY;A;3;;8+1;Nürnberg;AS Sinzing;N;Passau;AK Kreuz Regensburg (A93);S;4;488,8;305;199;52;54;58.186;29.205;28.981;60.234;29.762;30.471;60.665;30.809;29.856;47.994;25.226;22.767;-1,0;-1,8;-0,1;+0,7;10.175;4.916;5.259;12.605;6.104;6.501;10.362;4.944;5.419;1.655;834;821;-5,7;-4,8;-7,0;-21,1;17,5;20,9;17,1;3,4;1,01;0,75;1,05;3.163;15,4;947;31,2;3.450;15,6;2.302;14,6;;;;;;;;;;;;;;;;;;D;D;E;B;B;E;17;;A;8;;E;17;;B;8;;E;15;;B;8;;A;;;A;;;B;12;;C;14;;79,9;9,1;0,6;1,9;2,4;14,7;12,0;0,4;0,7;76,6;9,4;0,5;1,7;2,7;17,8;14,5;0,4;0,7;80,2;9,2;0,8;2,2;2,3;14,4;11,7;0,4;0,6;93,5;8,1;0,9;2,4;1,1;1,9;1,4;0,5;0,7;721.651;5.431.395;61.834;31.065;30.770;13.141;6.455;6.686;53.257;25.196;28.060;6.457;2.568;3.889;;;;;;;;;;;;;;;;;61.929;30.822;31.107;13.604;6.688;6.916;22,0;21,7;22,2;48,99562304;12,03033273;3.095;2.934;10,6;10,1;12,6;15,0;10,9;13,1;10,0;9,4;31.179;30.302;0,81;0,70;0,99;0,92;1,01;1,08;0,77;0,83;2.890;92;447;21;1.952;53;283;14;646;38;257;6;90;6937014O7038001O;7,419;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6020;9505;AS Aschaffenburg (W);9;BY;A;3;;2;Frankfurt a. Main;AS Stockstadt (B469);N;Würzburg;AS Aschaffenburg-West (B8);S;6;207,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;504.321;5.537.530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,99008818;9,06027366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;6020202O6020201O;0,642;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6021;9508;AS Bessenbach-Waldaschaff;9;BY;A;3;;8+1;Frankfurt a. Main;AS Bessenbach/Waldaschaff;N;Würzburg;AS Weibersbrunn;S;6;225,0;176;112;31;33;72.063;34.928;37.135;72.354;34.597;37.757;73.791;36.655;37.136;68.833;33.819;35.014;+2,1;+2,1;+1,6;+3,0;;;;;;;;;;;;;;;;;;;;;1,02;0,95;1,11;3.873;;1.261;;4.131;;3.102;;;;;;;;;;;;;;;;;;;C;C;D;D;D;C;;;C;;;C;;;C;;;E;16;;C;;;D;14;;B;11;;D;18;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518.739;5.536.881;72.763;35.306;37.457;;;;72.690;34.485;38.205;;;;;;;;;;;;;;;;;;;;72.869;35.000;37.869;;;;;;;49,98396864;9,26137920;3.336;3.399;9,6;9,2;;;;;9,5;9,0;34.140;36.298;0,98;0,92;0,98;0,95;1,09;1,12;0,91;0,95;;;;;;;;;;;;;400;6021021O6022017O;0,584;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
5411;7781;AS Dierdorf VQ Nord;7;RP;A;3;;8+1;Köln;AS Neuwied;N;Frankfurt a. Main;AS Dierdorf;S;6;64,4;285;178;59;48;79.449;39.566;39.883;78.086;39.164;38.922;82.155;40.184;41.971;81.012;40.246;40.766;+0,4;-0,6;+1,1;+3,1;12.726;6.322;6.405;15.347;7.624;7.723;13.093;6.532;6.561;2.920;1.415;1.505;+0,4;+1,2;-2,2;+2,7;16,0;19,7;15,9;3,6;1,05;1,04;1,17;4.347;13,7;1.237;32,3;4.585;14,1;3.634;12,3;;;;;;;;;;;;;;;;;;C;D;D;D;D;C;;;C;;;C;;;C;;;E;17;;E;16;;A;;;B;12;;D;17;;A;;;81,2;7,5;0,7;1,4;2,8;12,8;10,5;0,4;1,4;77,7;8,0;0,6;1,2;3,3;15,9;13,1;0,4;1,4;80,8;7,5;0,7;1,8;2,7;12,8;10,5;0,4;1,4;93,5;5,8;0,8;1,6;1,3;1,8;1,5;0,5;1,3;400.386;5.599.331;79.239;39.352;39.886;16.292;8.044;8.247;78.568;39.769;38.800;7.466;3.985;3.481;;;;;;;;;;;;;;;;;78.582;39.252;39.330;16.665;8.225;8.440;21,2;21,0;21,5;50,53743500;7,59429238;3.889;3.864;9,8;9,7;2,4;3,2;0,7;1,1;9,9;9,8;38.525;37.948;1,02;1,05;0,93;1,00;1,17;1,16;0,95;0,91;3.909;144;502;30;3.165;95;351;23;829;59;341;8;690;5411001O5411002O;6,030;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
6432;9519;AS Erlangen-Tennenlohe;9;BY;A;3;;5+1;Würzburg;AS Erlangen-Tennenlohe (B4);N;Passau;AS Nürnberg-Nord (B2);S;6;393,0;342;199;80;63;98.525;48.409;50.116;101.890;49.481;52.409;101.430;50.975;50.455;83.295;41.432;41.863;-1,6;-2,3;-0,9;+0,0;18.903;9.129;9.774;22.965;11.063;11.902;19.340;9.367;9.974;4.501;2.234;2.267;+0,6;+0,3;+0,5;+2,1;19,2;22,5;19,1;5,4;1,00;0,77;1,04;5.448;16,6;1.420;39,2;5.955;16,7;3.926;16,0;;;;;;;;;;;;;;;;;;D;D;C;B;B;B;8;;D;8;17;D;8;17;E;18;;D;8;15;D;8;16;C;11;13;B;12;;C;15;;C;17;;78,3;;;1,6;5,6;13,3;;0,3;0,9;75,1;;;1,4;6,2;16,0;;0,3;0,9;78,0;;;1,9;5,5;13,2;;0,3;1,0;91,8;;;1,9;2,9;2,2;;0,3;0,8;649.440;5.488.130;104.468;51.360;53.108;24.079;11.767;12.311;88.811;42.865;45.946;11.845;4.981;6.864;;;;;;;;;;;;;;;;;104.914;51.132;53.783;24.795;12.078;12.717;23,6;23,6;23,6;49,52734630;11,06509815;4.550;4.611;9,4;9,2;16,1;14,4;10,3;9,1;8,9;8,6;50.741;53.306;0,81;0,73;1,00;0,96;1,04;1,05;0,76;0,75;;336;658;;;188;439;;;126;432;;180;6432014O6432021O;2,773;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
